User ID|Gender|Age|EstimatedSalary|Purchased|AgeGroup
15624807|Male|58|128746.0|1|>50
15624808|Female|47|53889.0|1|40-50
15624811|Male|42|80287.0|1|40-50
15624815|Female|53|85702.0|0|>50
15624817|Male|58|83482.0|0|>50
15624822|Male|45|80467.0|1|40-50
15624824|Female|48|36721.0|0|40-50
15624828|Male|52|89622.0|0|>50
15624830|Male|42|59040.0|0|40-50
15624832|Female|53|89143.0|0|>50
15624835|Female|56|22477.0|1|>50
15624836|Male|59|93923.0|1|>50
15624837|Female|56|86170.0|0|>50
15624839|Male|48|11773.0|0|40-50
15624841|Female|52|99368.0|0|>50
15624843|Male|46|46953.0|0|40-50
15624850|Female|55|87019.0|1|>50
15624853|Male|57|67706.0|1|>50
15624854|Female|59|115023.0|0|>50
15624856|Male|44|75513.0|1|40-50
15624859|Female|46|125429.0|1|40-50
15624860|Female|54|45659.0|1|>50
15624861|Female|55|148361.0|1|>50
15624868|Male|42|108189.0|0|40-50
15624870|Male|53|51993.0|1|>50
15624872|Female|48|53873.0|0|40-50
15624874|Female|56|74316.0|1|>50
15624875|Male|44|90696.0|0|40-50
15624877|Female|43|47111.0|0|40-50
15624879|Male|56|53933.0|1|>50
15624882|Female|45|56615.0|1|40-50
15624884|Male|45|59267.0|1|40-50
15624886|Male|58|41516.0|0|>50
15624887|Female|56|82444.0|1|>50
15624891|Male|45|84405.0|0|40-50
15624892|Male|42|53239.0|1|40-50
15624893|Female|50|46118.0|1|40-50
15624894|Female|55|75152.0|0|>50
15624896|Male|49|62815.0|0|40-50
15624901|Female|54|57913.0|1|>50
15624902|Male|53|71066.0|0|>50
15624903|Female|52|64227.0|0|>50
15624907|Male|58|51042.0|0|>50
15624910|Male|48|52622.0|0|40-50
15624918|Male|49|46236.0|0|40-50
15624921|Female|55|102742.0|0|>50
15624923|Female|41|57799.0|0|40-50
15624924|Male|45|15897.0|0|40-50
15624926|Female|45|105634.0|0|40-50
15624927|Female|53|76577.0|0|>50
15624928|Female|43|98162.0|1|40-50
15624930|Male|45|43984.0|1|40-50
15624931|Male|45|129746.0|0|40-50
15624932|Male|54|117743.0|1|>50
15624933|Female|58|54905.0|0|>50
15624934|Female|53|-20205.0|1|>50
15624935|Male|44|60086.0|1|40-50
15624938|Male|50|63461.0|0|40-50
15624941|Female|45|70590.0|0|40-50
15624942|Male|46|92787.0|0|40-50
15624944|Female|52|14641.0|1|>50
15624948|Male|42|72725.0|0|40-50
15624951|Male|47|72580.0|1|40-50
15624953|Female|50|90549.0|1|40-50
15624956|Male|49|70539.0|0|40-50
15624960|Male|42|51100.0|0|40-50
15624962|Male|44|80669.0|0|40-50
15624964|Female|50|92956.0|0|40-50
15624965|Male|51|74681.0|0|>50
15624966|Female|58|87699.0|1|>50
15624967|Male|52|94127.0|0|>50
15624971|Male|45|57111.0|1|40-50
15624976|Female|55|80809.0|0|>50
15624979|Male|54|68502.0|0|>50
15624980|Male|54|77341.0|0|>50
15624992|Female|57|84569.0|0|>50
15624993|Female|49|92754.0|1|40-50
15624994|Female|51|82489.0|1|>50
15624995|Female|45|102668.0|0|40-50
15624996|Male|48|72169.0|1|40-50
15624998|Female|56|68916.0|0|>50
15624999|Female|43|67275.0|0|40-50
15625000|Female|51|4544.0|1|>50
15625005|Female|47|91784.0|0|40-50
15625006|Female|47|46086.0|0|40-50
15625010|Female|54|63607.0|1|>50
15625015|Male|56|78289.0|0|>50
15625016|Male|55|66040.0|1|>50
15625017|Female|51|63374.0|0|>50
15625018|Female|55|99189.0|0|>50
15625019|Female|51|74762.0|0|>50
15625021|Female|47|82525.0|0|40-50
15625024|Female|51|66041.0|0|>50
15625025|Female|55|67754.0|1|>50
15625026|Female|50|41022.0|1|40-50
15625027|Female|41|76444.0|0|40-50
15625029|Male|47|76088.0|1|40-50
15625030|Male|59|61984.0|0|>50
15625033|Female|46|16016.0|0|40-50
